,ADJACENT_LAND_USE_RATING,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DEDICATED_URBAN_FOREST,DESCRIPTION,ESA_RANKING,EXPOSED_EDGE_LENGTH_M,FACILITYID,FOREST_AGE_CLASS,FOREST_TYPE,FRAGMENTATION_RATING,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,ISOLATION_RATING,LEGACYID,LOCATION,MAINTAINED_EDGE_LENGTH_M,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NATURAL_AREA_TYPE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_NAME,PARK_OWNERSHIP,RIGHT_OF_WAY,RIPARIAN_AREA,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TRAIL_PRESENT,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
488,3,,"Firs and cedars are a planted screen from Hwy; most trees are likely cultivars, lacking natural undestory; acacias also present; large, mature fir present ",,,,N,"Forest; 15H - Greenbelt, 16341 104 Ave",2,391,1001438889,Young,Mixed,0,16341,0,19950919,3,0711-000000097,Various locat's,,Parks,,015,,20161220,Forest-mixed,"15H - Greenbelt, 16341 104 Ave",Park,Parks,15H - Greenbelt,,Y,N,10400,,,OPERATING,20000919163300,N,,,,,
489,2,,,,,,N,"Shrubland; 115M - Greenbelt, 16434 32 Ave",0,437,1001954540,,,1,16434,,20171107,1,,centre of park,376,Parks,,115,,20171108,Shrubland,"115M - Greenbelt, 16434 32 Ave",Park,Parks,115M - Greenbelt,,Y,Y,03200,,,OPERATING,,Y,,,,,
490,3,,,,,20130719,N,"Forest; Serpentine Headwaters Park, 10336 158 St",0,957.695,1001606838,Mature,Mixed,0,10336,,20120101,3,,Most of park,67.44,PARKS,,024,,20171025,Forest-mixed,"Serpentine Headwaters Park, 10336 158 St",Park,PARKS,Serpentine Headwaters Park,,Y,Y,15800,,,OPERATING,,N,,,,,
491,4,,- Formerly 114O Neighbourhood Park,,,20171108,N,"Forest; Morgan Grove, 2945 154 St",0,227,1001954245,Mature,Mixed,3,02945,,20171107,4,1001879101,entire site,134,Parks,,114,,20171108,Forest-mixed,"Morgan Grove, 2945 154 St",Park,Parks,Morgan Grove,,N,N,15800,,,OPERATING,,Y,,,,,
492,1,,Compacted steep slope lacking underst. in areas; yd. wst. covering slope in N. ,,,,N,"Forest; Bayview Park, 2590 Bayview St",0,562,1001439041,Mature,Mixed,4,02590,0,,4,0711-000000422,Most of park,,PARKS,,110,,20121016,Forest-mixed,"Bayview Park, 2590 Bayview St",Park,PARKS,Bayview Park,,N,N,12312,,,OPERATING,20040823143200,Y,,,,,
493,1,,See map for invasive spp. locations. ,,,,N,"Forest; Bell Estates Park, 1884 137A St",2,899,1001439043,Mature,Mixed,0,01884,0,,4,0711-000000427,E. and W. ends of park.,,PARKS,,122,,20121016,Forest-mixed,"Bell Estates Park, 1884 137A St",Park,PARKS,Bell Estates Park,,N,N,13750,,,OPERATING,20040823144100,Y,,,,,
494,1,,,,,,N,"Forest; 122N - Greenbelt, 13699 19a Ave",2,187,1001439045,Young,Mixed,0,13699,0,,4,0711-000000216,Most of park,,Parks,,122,,20121016,Forest-mixed,"122N - Greenbelt, 13699 19a Ave",Park,Parks,122N - Greenbelt,,N,N,01950,,,OPERATING,20020718082300,N,,,,,
495,1,,See map for invasive spp. and yard waste locations; some cedar regen. ,,,,N,"Forest; Bell Park, 1782 136 St",2,997,1001439046,Mature,Mixed,3,01782,0,,4,0711-000000428,Most of park,,PARKS,,122,,20121016,Forest-mixed,"Bell Park, 1782 136 St",Park,PARKS,Bell Park,,Y,N,13600,,,OPERATING,20040823144300,Y,,,,,
496,1,,See map for invasive spp. locations; yard waste throughout greenbelt; two Pileated woodpeckers sighted in forest.,,,,N,"Forest; 121U - Greenbelt, 1841 136 St",2,604,1001439053,Mature,Mixed,0,01841,0,,4,0711-000000227,"Most of park, except furthest E. section",,Parks,,121,,20121016,Forest-mixed,"121U - Greenbelt, 1841 136 St",Park,Parks,121U - Greenbelt,,N,N,13600,,,OPERATING,20060406094800,N,,,,,
497,1,,"See map for refuse, etc. locations; ivy growing up tree trunks N. of pool; gravel pushed up against tree bases at E. end of trail (some trees already dead here) ",,,,Y,"Forest; South Surrey/White Rock Pool, 14655 - 17 Ave",2,440,1001439056,Mature,Mixed,0,14655,0,,1,0711-000000060,W. side of property,,PARKS,,123,,20121016,Forest-mixed,"South Surrey/White Rock Pool Grounds, 14655 17 Ave",Land,PARKS,South Surrey/White Rock Pool,,Y,Y,01700,,,OPERATING,,N,,,,,
498,3,,,,,20180222,N,"Forest; 73M - Greenbelt, 14834 62 Ave",1,500,1001985624,Mature,Deciduous,0,14834,,20180222,3,,Most of park,306,Parks,,073,,20180222,Forest-deciduous,"73M - Greenbelt, 14834 62 Ave",Park,Parks,73M - Greenbelt,,N,Y,06200,,,OPERATING,,Y,,,,,
499,2,,See map for yard waste and invasive spp. locations.  ,,,,N,"Forest; Elgin Estates Park, 3148 Northcrest Dr",0,517,1001439057,Mature,Mixed,0,03148,0,,3,0711-000000049,"Most of park, with the exception of the detention pond.",,PARKS,,112,,20180316,Forest-mixed,"Elgin Estates Park, 3102 142 St",Park,PARKS,Elgin Estates Park,,Y,Y,14245,,,OPERATING,20040819133200,N,,,,,
500,1,,Private residence N. of works yard; see map for condition locat's ,,,,N,"Forest; Hemlock Park, 9353 160 St",0,1251,1001439166,Mature,Mixed,1,09353,0,,4,0711-000000497,Most of park (works yard in N.E. corner),,PARKS,,034,,20180223,Forest-mixed,"Hemlock Park, 9353 160 St",Park,PARKS,Hemlock Park,,Y,N,16000,,,OPERATING,20040824094300,Y,,,,,
501,2,,"Invasive dead nettle patch along S. part of E. edge near fire hydrant (see map), holly bushes N. and S. of T1 trail; coniferous regen. throughout section S.W. of Semiahmoo Trl. ",,,,N,"Forest; Sunnyside Lawn Cemetery, 14850 - 28 Ave",0,2479,1001438726,Mature,Mixed,0,14850,0,,4,0711-000000565,Majority of property (cemetary includes land S.W. of Semiahmoo Trail),,PARKS,,113,,20180223,Forest-mixed,"Sunnyside Lawn Cemetery, 14850 - 28 Ave",Cemetery,PARKS,Sunnyside Lawn Cemetery,,Y,N,02800,,,OPERATING,20040824123000,Y,,,,,
502,2,,Main stand lacks dense understory; pathways of grass thru. out; 20-25 cedars planted between stand and residences ,,,,N,"Forest; Pioneer Park, 6572 - 133 St",2,311,1001438777,Young,Deciduous,0,06572,0,,2,0711-000000019,N. portion of park near 67 Ave,,PARKS,,061,,20180228,Forest-deciduous,"Pioneer Park, 6572 133 St",Park,PARKS,Pioneer Park,,N,N,13300,,,OPERATING,,N,,,,,
503,2,,Many dead or dying birch; holly bushes along trail in various locations; encroachments N. of 25 A Ave; coniferous regen. exists in forest ,,,,N,"Forest; Semiahmoo Trail - 113B, 2570 149 St",0,2286,1001438727,Mature,Coniferous,4,02570,0,,4,0711-000000555,Most of trail corridor and adjacent park lots,,PARKS,,113,,20180223,Forest-coniferous,"Semiahmoo Trail - 113B, 2570 149 St",Park,PARKS,Semiahmoo Trail - 113B,,Y,N,14900,,,OPERATING,20040824113700,Y,,,,,
504,2,,,,,20081215,N,Forest; Bose Forest Park; 6203 164 St,1,1335,1001439185,Mature,Mixed,3,06203,0,,3,0711-000001050,throughout site,241,Parks,,075,,20180228,Forest-mixed,"Bose Forest Park, 6203 164 St",Park,Parks,Bose Forest Park,,N,N,16400,,,OPERATING,20081215151400,Y,,,,,
505,2,,,,,20180228,N,Forest; Bose Forest Park; 6203 164 St,1,1335,1001986940,Mature,Mixed,3,06203,0,,3,1001439185,throughout site,241,Parks,,075,,20180228,Forest-mixed,"Bose Forest Park, 6203 164 St",Park,Parks,Bose Forest Park,,N,N,16400,,,OPERATING,20081215151400,Y,,,,,
506,2,,,,,20090528,N,"Forest; 63G - Greenbelt, 7011 150 St",2,171,1001439198,Young,Mixed,4,07011,0,,3,0711-000001060,entire site,22,Parks,,063,,20180222,Forest-mixed,"63G - Greenbelt, 7011 150 St",Park,Parks,63G - Greenbelt,,N,Y,15000,,,OPERATING,20090528082500,N,,,,,
507,3,,Grassland in SW portion ,,,20080306,N,"Forest; Surrey Lake, 7500 152 St",0,2098,1001439173,Mature,Mixed,0,07500,0,,2,0711-000000226,NE portion of the site,,Parks,,054,,20180214,Forest-mixed,"Surrey Lake, 7500 152 St",Land,Parks,Surrey Lake,,N,Y,15200,,,OPERATING,20020718090500,Y,,,,,
508,3,,,,,20080306,N,"Grassland; Surrey Lake, 7500 152 St",0,5965,1001439175,,,0,07500,0,,2,0711-000000595,through out site,,Parks,,054,,20180214,Grassland,"Surrey Lake, 7500 152 St",Land,Parks,Surrey Lake,,N,Y,15200,,,OPERATING,20080306103800,Y,,,,,
509,3,,,,,20170822,N,"Forest; Woodward Hill Park, 6083 144 St",1,365,1001943684,Young,,0,06083,,20170818,3,1001875549,entire site,54,Parks,,072,,20170822,Forest-mixed,"Woodward Hill Park, 6083 144 St",Park,Parks,Woodward Hill Park,,Y,N,14400,,,OPERATING,,Y,,,,,
510,1,,See map for yard waste and invasive spp. locations. ,,,,N,"Forest; Fraser Wood Park - 15M, 10621 - Arbutus Wynd",2,1206,1001438810,Mature,Mixed,0,10621,0,,4,0711-000000009,"Scattered, mostly on N. and S. sides of park.",,PARKS,,015,,20180115,Forest-mixed,"Fraser Wood Park, 10621 Arbutus Wynd",Park,PARKS,Fraser Wood Park,,N,N,16595,,,OPERATING,,Y,,,,,
511,3,,,,,20110719,N,"Forest; West Newton Community Park, 13008 59 Ave",1,440,1001439271,Mature,Coniferous,4,13055,0,,3,0711-000001125,at 12913 Hwy 10 portion of site,219,Parks,,035,,20180115,Forest-coniferous,West Newton Community Park; 13008 59 Ave,Park,Parks,West Newton Community Park,,Y,N,05602,,,OPERATING,20110719124700,N,,,,,
512,1,,"Morninq glory, Himal. bl. bry. on upper slope (off 13 Ave)   ",,,,N,"Forest; Viewpoint - 131E - Greenbelt, 13090 13 Ave",0,303,1001439035,Mature,Deciduous,4,13090,0,,1,0711-000000165,Whole lot,,PARKS,,131,,20180115,Forest-deciduous,"131E - Greenbelt, 13090 13 Ave",Park,PARKS,131E - Greenbelt,,N,Y,01300,,,OPERATING,20040820085200,Y,,,,,
513,3,,Major ivy and dead nettle problem (see map). ,,,,N,"Forest; Queen Mary Park, 8972 Queen Mary Blvd",0,1546,1001438819,Mature,Deciduous,0,08972,0,,4,0711-000000539,Most of park,147,Parks,,031,,20180115,Forest-deciduous,"Queen Mary Park, 8972 Queen Mary Blvd",Park,Parks,Queen Mary Park,,Y,Y,13040,,,OPERATING,20040824110600,Y,,,,,
514,2,, , ,,20170223,N,"Shrubland; Charles Richardson Nature Reserve, 16934 88 Ave",0,,1001908282,,,0,16934,,,2, ,north end of site,,Parks,,046,,20180116,Shrubland,"Charles Richardson Nature Reserve, 16934 88 Ave",Park,Parks,Charles Richardson Nature Reserve,,Y,Y,08800,,,OPERATING,,Y,,,,,
515,1,,Large areas of shrubland and qrassland in the park. ,,,,N,"Forest; Bothwell Park, 9435 168 St",0,7710,1001439138,Mature,Deciduous,0,09435,0,,1,0711-000000144,"Large portion of park in the S., scattered in the N.",11,Parks,,035,,20180116,Forest-deciduous,"Bothwell Park, 9435 168 St",Park,Parks,Bothwell Park,,Y,Y,16800,,,OPERATING,20010817102200,N,,,,,
516,1,,,,,,N,"Grassland; Bothwell Park, 9435 168 St",0,4799,1001439139,,,0,09435,0,,1,0711-000000143,1,,Parks,,035,,20180116,Grassland,"Bothwell Park, 9435 168 St",Park,Parks,Bothwell Park,,Y,Y,16800,,,OPERATING,20010817101900,N,,,,,
517,1,,,,,20170523,N,Forest; Godwin Farm Biodiversity Preserve; 9016 164 St,0,1266,1001932212,Mature,Mixed,1,09016,,20170206,1,,throughout park,141,Parks,,035,,20180116,Forest-mixed,Godwin Farm Biodiversity Preserve; 9016 164 St,Park,Parks,Godwin Farm Biodiversity Preserve,,Y,Y,16400,,,OPERATING,,N,,,,,
518,1,,,,,,N,Grassland; Godwin Farm Biodiversity Preserve; 9016 164 St,0,10,1001932342,,,1,09016,,20170206,1,,throughout park,89,Parks,,035,,20180116,Grassland,Godwin Farm Biodiversity Preserve; 9016 164 St,Park,Parks,Godwin Farm Biodiversity Preserve,,Y,Y,16400,,,OPERATING,,N,,,,,
519,3,,,,,20080306,N,"Forest; Surrey Lake, 7500 152 St",0,2871,1001439174,Young,Deciduous,0,07500,0,,2,0711-000000594,Along stream edge and along 152 St edge,,Parks,,054,,20180116,Forest-deciduous,"Surrey Lake, 7500 152 St",Land,Parks,Surrey Lake,,N,Y,15200,,,OPERATING,20080306101700,N,,,,,
520,1,,Has a variety of invasive spp. and yard waste piles around park; also some unsanctioned trails (see map). ,,,,N,"Forest; Invergarry Park, 14400 Currie Dr",0,5144,1001438902,Mature,Deciduous,0,14400,0,,3,0711-000000504,Most of park,36.53,PARKS,,003,,20180116,Forest-deciduous,"Invergarry Park, 14400 Currie Dr",Park,PARKS,Invergarry Park,,N,Y,14340,,,OPERATING,20040824095400,Y,,,,,
521,1,,Cedar regen. (3m ht.) in N. forest; fair condition due to fragmented nature of forest and poor understory in N. ,,,,N,"Forest; Alderwood Park, 1761 Lilac Dr",2,617,1001439160,Mature,Deciduous,1,01761,0,,4,0711-000000417,"Various sections thru. out park, mostly in N.",450,PARKS,,124,,20180308,Forest-deciduous,"Alderwood Park, 1761 Lilac Dr",Park,PARKS,Alderwood Park,,N,N,15895,,,OPERATING,20040823141700,N,,,,,
522,2,,See map for invasive spp. locations. ,,,,N,"Forest; Elgin Estates Park, 3102 142 St",0,2107,1001438752,Mature,Mixed,0,03102,0,,3,0711-000000472,Most of park,,PARKS,,112,,20180116,Forest-mixed,"Elgin Estates Park, 3102 142 St",Park,PARKS,Elgin Estates Park,,Y,Y,14200,,,OPERATING,20040824085400,Y,,,,,
523,2,,See map for invasive spp. and yard waste locations; some coniferous regen.   ,,,,N,"Forest; Elgin Estates Park, 14299 24 Ave",0,3069,1001439059,Mature,Deciduous,0,14299,0,,3,0711-000000051,Most of park,,PARKS,,112,,20180116,Forest-deciduous,"Elgin Estates Park, 3102 142 St",Park,PARKS,Elgin Estates Park,,Y,Y,02400,,,OPERATING,20040819133500,N,,,,,
524,1,,,,,,N,"Forest; Clayton Park, 18513 - 70 Ave",0,2408,1001438730,Mature,Deciduous,0,18513,0,,4,0711-000000047,Component of Fd's with dbh 1m (N. of grass play area),,PARKS,,068,,20180220,Forest-deciduous,"Clayton Park, 18513 70 Ave",Park,PARKS,Clayton Park,,N,N,07000,,,OPERATING,,Y,,,,,
525,1,,,,,20090127,N,"Grassland; Semiahmoo Trail Park, 3065 Semiahmoo Trail",0,158,1001439190,,,4,03065,0,,4,0711-000001054,middle of site,,Parks,,113,,20180220,Grassland,"Semiahmoo Trail Park, 3065 Semiahmoo Trail",Park,Parks,Semiahmoo Trail Park,,N,N,14795,,,OPERATING,20090127153000,Y,,,,,
526,1,,,,,,N,"Grassland; Elgin Heritage Park, 13723 Crescent Rd1",0,5402,1001439133,,,4,13723,0,,2,0711-000000474,1,,PARKS,,102,,20180214,Grassland,"Elgin Heritage Park, 13723 Crescent Rd",Park,PARKS,Elgin Heritage Park,,N,Y,80403,,,OPERATING,20040824090000,Y,,,,,
527,2,,"See map for refuse, invas. locat's and beaver activity; construction refuse ",,,,N,"Forest; British Manor Park, 8022 146 St",0,1138,1001438955,Mature,Mixed,0,08022,0,,3,0711-000000113,Most of lot except under UROW and ponds,,Parks,,043,,20180117,Forest-mixed,"British Manor Park, 8022 146 St",Park,Parks,British Manor Park,,Y,Y,14600,,,OPERATING,20010814160700,N,,,,,
528,2,,Some invasive spp. and other problems near detention pond area (see map). ,,,,N,"Forest; British Manor Park, 14440 79 Ave",0,4131,1001438944,Mature,Mixed,0,14440,0,,3,0711-000000118,Most of park,328,Parks,,053,,20180117,Forest-mixed,"British Manor Park, 14440 79 Ave",Park,Parks,British Manor Park,,N,Y,07900,,,OPERATING,20010814164400,Y,,,,,
529,3,,3 shopping carts located in or near the stream.     ,,,,N,"Forest; 14F - Greenbelt, 10577 155 St",0,157,1001438887,Mature,Mixed,0,10577,0,,1,0711-000000179,All of lot,,PARKS,,014,,20180726,Forest-mixed,"14F - Greenbelt, 10577 155 St",Park,PARKS,14F - Greenbelt,,N,Y,15500,,,OPERATING,20040820095000,N,,,,,
530,2,,,,,,N,"Forest; Elgin Estates Park, 3267 143 St",0,399,1001439143,Mature,Mixed,0,03328,0,,3,0711-000000030,All of lot,,PARKS,,102,,20180116,Forest-mixed,"Elgin Estates Park, 3102 142 St",Park,PARKS,Elgin Estates Park,,Y,Y,13600,,,OPERATING,20040819130100,N,,,,,
531,2,,Lots of Himalayan blackberry; see map for yard waste locations.     ,,,,N,"Forest; 14K - Greenbelt, 10565 158 St",0,615,1001438906,Young,Deciduous,0,10565,0,,2,0711-000000181,Scattered,,PARKS,,014,,20180726,Forest-deciduous,"14K - Greenbelt, 10565 158 St",Park,PARKS,14K - Greenbelt,,,Y,15800,,,OPERATING,20040820095600,N,,,,,
532,1,,"In middle E. section, mostly alder with cedar; cedar, fir, hemlock regen. present thru. out at various growth stages; lots of yard w. and inv. sp. along 18 Ave in forest (see map for locations); comp. w/ 123H-Gnbt ",,,,N,"Forest; South Surrey Athletic Park, 1925 148 St",0,3287,1001438747,Mature,Coniferous,4,01925,0,,3,0711-000000041,Various large sections along edges of property,,PARKS,,123,,20180220,Forest-coniferous,"South Surrey Athletic Park, 1925 148 St",Park,PARKS,South Surrey Athletic Park,,Y,Y,14800,,,OPERATING,,Y,,,,,
533,2,,,,,20161114,N,"Forest; British Manor Park, 8194 144A St",0,7138,1001896573,Mature,Mixed,0,08194,,20160216,3,,All of site,12,Parks,,043,,20180116,Forest-mixed,"British Manor Park, 8194 144A St",Park,Parks,British Manor Park,,Y,N,14450,,,OPERATING,,N,,,,,
534,0,,Varioius invasive species found throughout park (see map); extensive nature trails found within park also (see map; not all nature trails mapped to date (April 9/02)) ,,,,Y,"Forest; Sunnyside Acres Urban Forest Park, 2598 - 144 St",0,10513,1001438753,Mature,Mixed,0,02598,0,,4,0711-000000564,Whole park,,PARKS,,113,,20180220,Forest-mixed,"Sunnyside Acres Urban Forest Park, 2598 144 St",Land,PARKS,Sunnyside Acres Urban Forest,,Y,Y,14400,,,OPERATING,20040824115800,Y,,,,,
535,1,,Fragmented forest stands to W. of main forest are primarily deciduous; widespread English ivy in W. area of main forest stand (W. of Stewart farmhouse); forest edges near main buildings are somewhat cultured ,,,,N,"Forest; Elgin Heritage Park, 13723 Crescent Rd",0,7083,1001439155,Mature,Mixed,4,13723,0,,2,0711-000000480,Various locations in park,,PARKS,,102,,20180214,Forest-mixed,"Elgin Heritage Park, 13723 Crescent Rd",Park,PARKS,Elgin Heritage Park,,Y,Y,80403,,,OPERATING,20040824090800,Y,,,,,
536,2,,"90% invasive species.  knotweed forests, broom, blackberry and canary grass",,,20180214,N,"Grassland; Elgin Estates Park, 14390 Crescent Rd",0,1039,1001984102,,,0,14390,0,,3,1001439142,East side,,Parks,,102,,20180214,Grassland,"Elgin Estates Park, 3102 142 St",Park,Parks,Elgin Estates Park,,N,N,80403,,,OPERATING,20060406072700,Y,,,,,
537,2,,Major paper birch component also; ground fort (see map)  ,,,,N,"Forest; 67E - Greenbelt, 17935 68 Ave",0,589,1001438850,Mature,Deciduous,0,17935,0,,4,0711-000000083,Whole lot,,Parks,,067,,20180117,Forest-deciduous,"67E - Greenbelt, 17935 68 Ave",Park,Parks,67E - Greenbelt,,Y,Y,06800,,,OPERATING,20000831161200,N,,,,,
538,1,,"Mostly coniferous area at N. end, but overall deciduous. ",,,,N,"Forest; Fleetwood Park, 15802 80 Ave",0,4182,1001438698,Mature,Mixed,0,15802,0,,3,0711-000000486,Most of park,,PARKS,,054,,20180220,Forest-mixed,"Fleetwood Park, 15802 80 Ave",Park,PARKS,Fleetwood Park,,Y,Y,08000,,,OPERATING,20040824091800,Y,,,,,
539,1,,Some mature D. fir and red cedar as well; see map for invasive spp. locations. ,,,,N,"Forest; Rosemary Wynde, 3701 155 St",1,354,1001439067,Young,Coniferous,4,15429,0,19991012,4,0711-000000104,Stand in the S.,,Parks,,104,,20170523,Forest-coniferous,"Rosemary Wynde, 3701 155 St",Park,Parks,Rosemary Wynde,,N,N,03600,,,OPERATING,20001012153800,N,,,,,
540,2,,"English ivy climbing trees W. of creek, S.W. of track; see map for locat's of Him. bl. bry., giant knotweed and other invas's and large yd. wst. piles in S. ",,,,N,"Forest; Bear Creek Park, 13750 88 Ave",0,9525,1001438710,Mature,Deciduous,0,13750,0,,4,0711-000000424,Various large forests and smaller stands,,PARKS,,042,,20180220,Forest-deciduous,"Bear Creek Park, 13750 88 Ave",Park,PARKS,Bear Creek Park,,Y,Y,08800,,,OPERATING,20040823143600,Y,,,,,
541,3,,See map for invasive spp. locations.  ,,,,N,"Forest; Hyland Creek Park, 6542 138 St",0,1709,1001438937,Mature,Mixed,0,06542,0,,4,0711-000000364,All of park,110,Parks,,062,,20180223,Forest-mixed,"Hyland Creek Park, 6542 138 St",Park,Parks,Hyland Creek Park,,Y,Y,13800,,,OPERATING,20040823114500,N,,,,,
542,1,,See map for invasive spp. and yard waste locations. ,,,,N,"Forest; John Tompson Park, 14324 Hawkstream Dr",0,5864,1001438942,Mature,Deciduous,0,14324,0,,4,0711-000000119,Most of park,,Parks,,052,,20180117,Forest-deciduous,"John Tompson Park, 14324 Hawkstream Dr",Park,Parks,John Tompson Park,,N,Y,08013,,,OPERATING,20010814165000,Y,,,,,
543,1,,Yard and refuse W. of trail on S. boundary (along fence); major ivy 8m up trees E. of trail on S. bound. ; Good cedar regen.; Forest poor east of 129 St. parking lot in north; ,,,,N,"Forest; Crescent Park, 2585 132 St",0,7844,1001438750,Mature,Mixed,0,02585,0,,4,0711-000000462,Mostly forested,,PARKS,,111,,20180117,Forest-mixed,"Crescent Park, 2585 132 St",Park,PARKS,Crescent Park,,Y,Y,13200,,,OPERATING,20040824082800,Y,,,,,
544,2,,Some hemlock and cedar regen. ,,,,N,"Forest; Hi-Knoll Park, 19569 Colebrook Rd",0,4629,1001438751,Mature,Deciduous,4,19569,0,,2,0711-000000149,"Patchy in N., mostly forested in the S.",,PARKS,,089,,20180220,Forest-deciduous,"Hi-Knoll Park, 19569 Colebrook Rd",Park,PARKS,Hi-Knoll Park,,Y,Y,80303,,,OPERATING,20010823105300,Y,,,,,
545,2,,,,,,N,"Grassland; Hi-Knoll Park, 19569 Colebrook Rd",0,3249,1001439111,,,4,19569,0,,2,0711-000000150,1,,PARKS,,089,,20180220,Grassland,"Hi-Knoll Park, 19569 Colebrook Rd",Park,PARKS,Hi-Knoll Park,,N,Y,80303,,,OPERATING,20010823105400,Y,,,,,
546,2,,See map for invasive spp. and yard waste locations. ,,,20160928,N,"Forest; Chantrell Park, 2254 Chantrell Park Dr",0,3803,1001893352,Young,Deciduous,4,02254,0,,3,1001439171,Most of park,,Parks,,122,,20180223,Forest-deciduous,"Chantrell Park, 2254 Chantrell Park Dr",Park,Parks,Chantrell Park,,Y,Y,13705,,,OPERATING,20020718085900,Y,,,,,
547,3,,,,,20161202,N,"Forest; Hyland Creek Park, 6542 138 St",0,6240,1001898906,Mature,Mixed,0,06542,,20160125,4,1001604840,entire lot,116,Parks,,062,,20180223,Forest-mixed,"Hyland Creek Park, 6542 138 St",Park,Parks,Hyland Creek Park,,N,Y,13800,,,OPERATING,,Y,,,,,
548,3,,Aerial photo not up to date with what is on the ground. ,,,,N,"Forest; Bolivar Park, 13591 Crestview Dr",0,2772,1001438769,Mature,Deciduous,1,13591,0,,4,0711-000000433,Most of park,,PARKS,,001,,20180108,Forest-deciduous,"Bolivar Park, 13591 Crestview Dr",Park,PARKS,Bolivar Park,,Y,Y,11345,,,OPERATING,20040823145200,Y,,,,,
549,3,,"Gravel lot encroach. from 'Clayton Store' in E. extends to bank edge, promoting dumping; severe refuse problem on banks and instream (old tires/appliances, etc.); encroach.'s from homes of lot 18368; mature hemlock/fir also present",,,,N,"Forest; North Creek Park, 6925 184 St",0,1050,1001438958,Mature,Mixed,0,06925,0,,3,0711-000000086,Most of lot,,Parks,,067,,20180117,Forest-mixed,"North Creek Park, 6895 180 St",Park,Parks,North Creek Park,,Y,Y,18400,,,OPERATING,20000831165100,N,,,,,
550,3,,,,,20130720,N,"Forest; North Creek Park, 6898 180 St",0,1231,1001606913,Mature,Mixed,0,06925,,20130117,3,,Whole lot,91,Parks,,067,,20180117,Forest-mixed,"North Creek Park, 6895 180 St",Park,Parks,North Creek Park,,N,Y,18400,,,OPERATING,,N,,,,,
551,3,,,,,20130720,N,"Forest; North Creek Park, 6925 184 St",0,1004,1001606914,Mature,Mixed,0,06925,,20130117,3,,Most of lot,0,Parks,,067,,20180117,Forest-mixed,"North Creek Park, 6895 180 St",Park,Parks,North Creek Park,,N,Y,18400,,,OPERATING,,N,,,,,
552,1,,Cedar present also; major invas. due to blk. bry. thru. out frst ,,,,Y,"Forest; 67F - Greenbelt, 17885 68 Ave",0,651,1001438851,Mature,Deciduous,0,17885,0,,3,0711-000000084,Most of lot,65,Parks,,067,,20180117,Forest-deciduous,"67F - Greenbelt, 17885 68 Ave",Park,Parks,67F - Greenbelt,,Y,Y,06800,,,OPERATING,20000831162000,N,,,,,
553,3,,Not ground truthed (assumed invasive sp. amount greater than 'none'); assumed prevalent tree sp. same as 67C which origially incl. 67D ,,,,N,"North Creek Park, 6895 180 St",0,1173,1001438859,Mature,Deciduous,0,06895,0,,3,0711-000000082,Whole lot,143,Parks,,067,,20180117,Forest-deciduous,"North Creek Park, 6895 180 St",Park,Parks,North Creek Park,,N,Y,18000,,,OPERATING,20000831154500,N,,,,,
554,3,,Planting in grass area is in overall poor condition with blackberry taking over.,,,,N,"North Creek Park, 18497 68a Ave",0,794,1001439141,Mature,Deciduous,0,18497,0,,3,0711-000000105,all along Fraser Hwy,410,Parks,,068,,20180117,Forest-deciduous,"North Creek Park, 6895 180 St",Park,Parks,North Creek Park,,N,N,06850,,,OPERATING,20060406140600,N,,,,,
555,1,,,,,,N,"Forest; Delta View Park - 80A, 12066 New Mclellan Rd",1,765,1001438714,Mature,Mixed,0,12066,0,,4,0711-000000465,All of park,,PARKS,,080,,20180117,Forest-mixed,"Delta View Park - 80A, 12066 New Mclellan Rd",Park,PARKS,Delta View Park,,Y,N,05525,,,OPERATING,20040824083500,N,,,,,
556,1,,5x13m invasive species patch along road near gravel parking lot; ,,,20160215,N,"Forest; Joe Brown Park, 5381 125A St",0,7302,1001859273,Mature,Mixed,1,05381,0,,4,1001859236,Covers most of park.,,PARKS,,080,,20180117,Forest-mixed,"Joe Brown Park, 5381 125A St",Park,PARKS,Joe Brown Park,,Y,Y,12550,,,OPERATING,20040824100100,Y,,,,,
557,2,,"Significant areas of grassland and some shrubland form complementary habitat on the property; see map for locations of yard waste, refuse and invasive spp. ",,,,N,"Forest; Colebrook Park, 5419 King George Blvd",0,15435,1001438790,Mature,Mixed,0,05419,0,,4,0711-000000166,N. side of park.,40,Parks,,082,,20180117,Forest-mixed,"Colebrook Park, 5419 King George Blvd",Park,Parks,Colebrook Park,,Y,Y,13601,,,OPERATING,20010828140500,N,,,,,
