,BAFFLES_END1,BAFFLES_END2,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,COMMENTS,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,DESCRIPTION,EQ_NO,FACILITYID,FENCING_SIDE1,FENCING_SIDE2,HABITAT,LEGACYID,LENGTH,LOCATION,MAINTENANCE_RESPONSIBILITY,MATERIAL,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OPERATOR,OWNER,PARK_OWNERSHIP,PRK_BRIDGE_SPECIAL_FEATURES,PRK_TRAIL_SERVICE_CLASS,PROJECT_NO,RAILINGS_MATERIAL1,RAILINGS_MATERIAL2,REFERENCE_NO,ROUTE_TYPE2,STATUS,TREES_PLANTED,USE_LEVEL,WIDTH,YR
1722,,,,,(lbob new) ,,,,"P2 Path; Huntington Park, 13111 21b Ave",,1001485353,,,,,,from 21b Ave across from 13150 to forest edge,Parks,Asphalt,"Huntington Park, 13111 21b Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1723,,,,,(lbob new) ,,,,"T2 Trail;  Sunrise Ridge Park - 78H, 18725 58 Ave",,1001485359,,,,,,Southeast to school,Parks,Gravel,"Sunrise Ridge Park, 18725 58 Ave",Park,Parks,Parks,Surrey,,,A,,,,T2,General Access and Recreation,In Service,No,,2.2,2009
1724,,,,,(lbob new) ,,,,"Bridge - Wood; Chantrell Park, 2254 Chantrell Park Dr",0707-000000212,1001486241,,,,,,Over Chantrell Creek off 137 St at about 22a Ave,Parks,Wooden,"Chantrell Park, 2254 Chantrell Park Dr",,Parks,,,,,,,,,1,Pedestrian Bridge,T,,,,
1725,,,,,(lbob new) ,,,,"P2 Path; Maple Green Park, 8959 - 150 St",,1001485365,,,,,,from entrance SE of tennis courts to P1,Parks,Asphalt,"Maple Green Park, 8959 150 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1726,,,,,(lbob new) ,,,,"P1 Path; Barry Mather Park, 15039 - 92A Ave",,1001485367,,,,,,from western 94 Ave entrance to playground and fo*,Parks,Limestone,"Barry Mather Park, 15039 92A Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1727,,,,,,Nature Trail,,,"T57 Trail;  Redwood Park, 17900 20 Ave",0710-000001745,1001744451,,,,,205,From the southeast corner of the lawn area near t*,Parks,Dirt,"Redwood Park, 17900 20 Ave",Park,Parks,Parks,,,,C,,,,T57,Nature Trail,In Service,,,1,
1728,,,Off-Street Multi-Use Pathway,,,Multi-use,Crescent Beach Greenway,Greenway,"P1 Path; Crescent Beach, 12160 Beecher St",,1001402263,,,,,,along coast from Wickson Rd to Maple St,Parks,Gravel,"Crescent Beach, 12160 Beecher St",Park,Parks,Parks,Surrey,,,,,,,P1,Multi-use Pathway,In Service,No,,,2009
1729,,,,,(lbob new) ,,,,"P4 Path; Holly Park, 10706 - 148 St",,1001485525,,,,,,around caretakers area and north side of lacrosse*,Parks,Asphalt,"Holly Park, 10706 148 St",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
1730,,,,,(lbob new) ,Recreation,,,T3 Trail;  Robertson Drive Park 12730 92 Ave,,1001484506,,,,,,Northwest corner of forest to northeast corner of*,Parks,Limestone,"Robertson Drive Park, 12730 92 Ave",Park,Parks,Parks,Surrey,,,B1,,,,T3,Nature Trail,In Service,No,,1.3,2009
1731,,,,,(lbob new) ,,,,"P4 Path; Bakerview Park, 1845 154 St",,1001485539,,,,,,from P3 to playground,Parks,Asphalt,"Bakerview Park, 1845 154 St",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
1732,,,,,"(lbob new) Gravel sparse in areas, so natural",,,,"T3 Trail; Crescent Park, 2585 132 St",,1001485541,,,,,,Northwest corner of playing field on east side of*,Parks,Gravel,"Crescent Park, 2585 132 St",Park,Parks,Parks,Surrey,,,A,,,,T3,Vehicle Access,In Service,No,,4,2009
1733,,,,,(lbob new) ,,,,"P5 Path; Cloverdale Ball Park, 17383 61A Ave",,1001485555,,,,,,from SW corner of parking lot and from west side *,Parks,Asphalt,"Cloverdale Ball Park, 17383 61A Ave",Park,Parks,Parks,Surrey,,,,,,,P5,General Access and Recreation,In Service,No,,,2009
1734,,,,,(lbob new) ,,,,"P1 Path; Guy Richardson Park, 16940 Friesian Dr",,1001485557,,,,,,from Friesian Dr to forest edge,Parks,Limestone,"Guy Richardson Park, 16940 Friesian Dr",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1735,,,,,(lbob new) ,,,,"P1 Path; Watson Park - 77B, 6269 - 180A St",,1001485558,,,,,,West park entrance,Parks,Concrete,"Watson Park - 77B, 6269 180A St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1736,,,,,(lbob new) ,,,,"P1 Path; Northview Park, 11149 - 156 St",,1001485565,,,,,,from 156 St entrance to forest edge,Parks,Limestone,"Northview Park, 11149 156 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1737,,,,,(lbob new) Overgrown w/ grass,Recreation,,,"T3 Trail; Bob Rutledge Park, 5448 148 St",,1001484513,,,,,,Northwest of tennis courts,Parks,Gravel,"Bob Rutledge Park, 5448 148 St",Park,Parks,Parks,Surrey,,,B1,,,,T3,Nature Trail,In Service,No,,1.7,2009
1738,,,,,(lbob new) ,Recreation,,,"T5 Trail;  Redwood Park, 17900 20 Ave",,1001484517,,,,,,Northwest corner of park to the treehouse where i*,Parks,Gravel,"Redwood Park, 17900 20 Ave",Park,Parks,Parks,Surrey,,,A,,,,T5,Nature Trail,In Service,No,,2.3000000000000003,2009
1739,,,,,(lbob new) ,,,,"Bridge #4 - Concrete; Bear Creek Park, 13750 88 Ave",0707-000000191,1001486236,,,,,,"over Bear Creek, S side of park just N of hydro lines",Parks,,"Bear Creek Park, 13750 88 Ave",,Parks,,,,,,,,,4,Pedestrian Bridge,History,,,,
1740,,,,,(lbob new) ,,,,"Bridge #5 - Concrete; Bear Creek Park, 13750 - 88 Ave",0707-000000136,1001486226,,,,,,West Entrance to Garden,Parks,,"Bear Creek Park, 13750 - 88 Ave",,Parks,,,,,,,,,5,Pedestrian Bridge,History,,,,
1741,,,,,"(lbob new) The middle 28 m of this path used to be called T2.  In November, 2009 it was noticed that this 'trail' is actually a path and and actually does not run through a natural area... therefore, T2 has been decommissioned and is now combined as part*",,,,"P2 Path; Hunter Park - 88A, 5480 - 184A St",,1001485706,,,,,,from P1 to playground,Parks,Gravel,"Hunter Park - 88A, 5480 184A St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1742,,,,,(lbob new) ,,,,"P1 Path; Cloverdale Heights Park, 5880 Aberdeen St",,1001485708,,,,,,"from Hereford Pl, Angus Pl, and 170a St entrances*",Parks,Asphalt,"Cloverdale Heights Park, 5880 Aberdeen St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1743,,,,,(lbob new) ,,,,"P5 Path; Kennedy Park, 9058 Holt Rd",,1001485711,,,,,,up east side of tennis courts and along north sid*,Parks,Gravel,"Kennedy Park, 9058 Holt Rd",Park,Parks,Parks,Surrey,,,,,,,P5,General Access and Recreation,In Service,No,,1.5,2009
1744,,,,,(lbob new) ,,,,"P4 Path; Moffat Memorial Park, 9434 122 St",,1001485717,,,,,,west side and south side of park,Parks,Asphalt,"Moffat Memorial Park, 9434 122 St",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
1745,,,,,(lbob new) ,,,,"P6 Path (Sunnyside Greenway); South Surrey Athletic Park, 1925 - 148 St",,1001485733,,,,,,from parking lot east of skate park to 20 Ave,Parks,Asphalt,"South Surrey Athletic Park, 1925 148 St",Park,Parks,Parks,Surrey,,,,,,,P6,General Access and Recreation,In Service,No,,,2009
1746,,,,,(lbob new) ,,,,"P1 Path; 123B - Greenbelt, 14923 - 21 Ave",,1001485737,,,,,,Throughout Site,Parks,Asphalt,"123B - Greenbelt, 14923 21 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1747,,,,,(lbob new) ,,,,"P1 Path; South Surrey Athletic Park, 1925 - 148 St",,1001485748,,,,,,around perimetre of South Surrey Arena,Parks,Asphalt,"South Surrey Athletic Park, 1925 148 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1748,,,,,(lbob new) ,,,,"P1 Path; Dogwood Park, 13485 - 20 Ave",,1001485753,,,,,,throughout grass area north of parking lot,Parks,Limestone,"Dogwood Park, 13485 20 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1749,,,,,(lbob new) ,,,,"P1 Path; 2A - Greenbelt, 11572 - 138B St",,1001485772,,,,,,From 138B St Entrance,Parks,Concrete,"2A - Greenbelt, 11572 138B St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,2,2009
1750,,,,,(lbob new) needs widening and surfacing,Recreation,,,"T2 Trail;  Royal Kwantlen Park, 13035 104 Ave",,1001484553,,,,,,"From southern all-weather field, to T4, loop in S*",Parks,Dirt,"Royal Kwantlen Park, 13035 104 Ave",Park,Parks,Parks,Surrey,,,B1,,,,T2,Nature Trail,In Service,No,,,2009
1751,,,,,(lbob new) Double connector to start of T8 from Crescent Rd.,Recreation,,,"T2 Trail; Elgin Heritage Park, 13723 Crescent Rd",,1001484558,,,,,,South of Stewart Farmhouse in pk. middle,Parks,Gravel,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,Parks,Surrey,,,A,,,,T2,Nature Trail,In Service,No,,1.5,2009
1752,,,,,(lbob new) Few sections of trail come close to road w/ no forest on rd. side and some sections are outside forest but w/in natural area,Recreation,,,"T3 Trail (Nicomekl Greenway); Elgin Heritage Park, 13723 Crescent Rd",,1001484559,,,,,,From grass area east of Stewart Farmhouse to far *,Parks,Gravel,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,Parks,Surrey,,,A,,,,T3,Nature Trail,In Service,No,,2,2009
1753,,,,,(lbob new) ,Recreation,,,"T5 Trail (Nicomekl Greenway); Elgin Heritage Park, 13723 Crescent Rd",,1001484560,,,,,,"Starting north of Park's office, heading west goi*",Parks,Gravel,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,Parks,Surrey,,,A,,,,T5,Nature Trail,In Service,No,,2.3000000000000003,2009
1754,,,,,(lbob new) ,Recreation,,,"T158 Trail; Green Timbers Urban Forest Park, 14698 96 Ave",,1001484578,,,,,,"From Trillium trail loop south to 100 Ave., just *",Parks,Gravel,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,Parks,Parks,Surrey,,,A,,,,T158,Nature Trail,In Service,No,,0.8,2009
1755,,,,,(lbob new) ,,,,"P2 Path; 34A - Utility ROW, 15472 - 95A Ave",,1001484718,,,,,,from 15264 95a Ave to P10 and from P10 to 15251 9*,Parks,Concrete,"34A - Utility ROW, 15472 95A Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1756,,,,,(lbob new) ,,,,"P2 Path; Fern Park, 9420 - 164 St",,1001484722,,,,,,from 93b Ave entrance to forest edge,Parks,Concrete,"Fern Park, 9420 164 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1757,,,,,(lbob new) ,,,,"P3 Path; Frank Hurt Park, 13828 - 77 Ave",,1001484736,,,,,,connects P2 with P1 at an angle,Parks,Asphalt,"Frank Hurt Park, 13828 77 Ave",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,1.5,2009
1758,,,,,(lbob new) ,,,,"P2 Path; Fraser Wood Park - 15M, 10621 - Arbutus Wynd",,1001484738,,,,,,from Birchtree Gr entrance to forest edge,Parks,Concrete,"Fraser Wood Park, 10621 Arbutus Wynd",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1759,,,,,(lbob new) ,,,,"P1 Path; 51A - Greenbelt, 7850 - 132 St",,1001484742,,,,,,132 St Entrance To Lane Behind 132A St,Parks,Asphalt,"51A - Greenbelt, 7850 132 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,1.5,2009
1760,,,,,(lbob new) ,Nature Trail,,,"T1 Trail; 122L - Greenbelt, 2017 140 St",,1001484748,,,,,,W/in N stand,Parks,Gravel,"122L - Greenbelt, 2017 140 St",Park,Parks,Parks,Surrey,,,C,,,,T1,Nature Trail,In Service,No,,1.7,2009
1761,,,,,(lbob new) ,,,,"P1 Path; 121F - Walkway, 12980 20 Ave",,1001484770,,,,,,From 19 Ave to 20 Ave,Parks,Asphalt,"121F - Walkway, 12980 20 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1762,,,,,(lbob new) Cascara West Trail,Nature Trail,,,"T120 Trail (Cascara Trail West); Green Timbers Urban Forest Park, 14698 96 Ave",,1001484796,,,,,,Just south of 96 Ave and Fraser Hwy intersection,Parks,Gravel,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,Parks,Parks,Surrey,,,C,,,,T120,Nature Trail,In Service,No,,1,2009
1763,,,,,(lbob new) ,,,,"Bridge #9 - Wood; Bear Creek Park, 13750 - 88 Ave",0707-000000086,1001486202,,,,,,"over creek near south side of formal garden, middle bridge",Parks,Wooden,"Bear Creek Park, 13750 - 88 Ave",,Parks,,,,,,,,,9,Pedestrian Bridge,History,,,,
1764,,,,,(lbob new) ,,,,"Bridge #10 - Wood; Bear Creek Park, 13750 - 88 Ave",0707-000000092,1001486203,,,,,,"over creek near south side of formal garden, east bridge",Parks,Wooden,"Bear Creek Park, 13750 - 88 Ave",,Parks,,,,,,,,,10,Pedestrian Bridge,History,,,,
1765,,,,,(lbob new) Non-forested wildland adjacent to trail for 30 - 40m,Recreation,,,"T5 Trail; Semiahmoo Trail - 113B, 2570 149 St",,1001484653,,,,,,From 150 St cul-de-sac to access at 25A Ave,Parks,Gravel,"Semiahmoo Trail - 113B, 2570 149 St",Park,Parks,Parks,Surrey,,,A,,,,T5,Nature Trail,In Service,No,,1.8,2009
1766,,,,,(lbob new) Not w/in forest but natural area (*60m of trail is bridge/boardwalk over wetland),Recreation,,,"T17 Trail; Elgin Heritage Park, 13723 Crescent Rd",,1001484657,,,,,,"From southwest parking lot, heading west to T5",Parks,Gravel,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,Parks,Surrey,,,A,,,,T17,Nature Trail,In Service,No,,2.2,2009
1767,,,,,(lbob new) Crosses riparian area without a bridge,Recreation,,,"T3 Trail; Elgin Estates Park, 3102 142 St",,1001484670,,,,,,Runs across swtream and connects T1 and T4,Parks,Gravel,"Elgin Estates Park, 3102 142 St",Park,Parks,Parks,Surrey,,,B2,,,,T3,Nature Trail,In Service,No,,1.1,2009
1768,,,,,(lbob new) ,,,,"P5 Path; Crescent Park, 2585 132 St",,1001485832,,,,,,from north parking lot near caretakers to forest *,Parks,Mulch,"Crescent Park, 2585 132 St",Park,Parks,Parks,Surrey,,,,,,,P5,General Access and Recreation,In Service,No,,,2009
1769,,,,,"5 Stairs; 1.2M Long, 1.6M wide & 1M high (lbob new) ",,,,"Bridge #1 - Wood; Sunnyside Acres Urban Forest Park, 2598 - 144 St",0707-000000244,1001486250,,,,,,on 28 Ave across from 14559,Parks,Wooden,"Sunnyside Acres Urban Forest Park, 2598 - 144 St",,Parks,,,,,,,,,1,Pedestrian Bridge,M,,,,
1770,,,,,(lbob new) ,,,,"P2 Path; 35C - Utility ROW, 9530 - 162A St",,1001485823,,,,,,from 95a Ave to Green Timbers Greenway,Parks,Concrete,"35C - Utility ROW, 9530 162A St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1771,,,,,(lbob new) Hemlock Trail; One section of the trail (north portion) has poor drainage lesding to pooling and the creation of a secondary trail to avoid the pooling,Nature Trail,,,"T47 Trail (Hemlock Trail); Green Timbers Urban Forest Park, 14698 96 Ave",,1001484797,,,,,,Runs from Douglas fir trail to 96 Ave,Parks,Dirt,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,Parks,Parks,Surrey,,,C,,,,T47,Nature Trail,In Service,No,,1.2,2009
1772,,,,,(lbob new) ,,,,"P4 Path; 50B - Utility ROW, 12586 - 80 Ave",,1001484809,,,,,,from 125 St to P7,Parks,Asphalt,"50B - Utility ROW (Serpentine Dog-Off-Leash Park), 12586 80 Ave",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
1773,,,,,(lbob new) ,,,,"P1 Path; Ben Stevenson View Park - 120D, 12300 - 18 Ave",,1001484957,,,,,,Thru Centre Of Park From Ocean Park Rd,Parks,Limestone,"Ben Stevenson View Park - 120D, 1799 Ocean Park Rd",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1774,,,,,(lbob new) ,,,,"P1 Path; 121L - Greenbelt, 13447 Amble Wood Dr",,1001484960,,,,,,From Amble Wood Dr. Entrance To 134 St,Parks,Asphalt,"121L - Greenbelt, 13447 Amble Wood Dr",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1775,,,,,(lbob new) ,Recreation,,,"T3 Trail; Bay Ridge Park, 14284 18a Ave",,1001484972,,,,,,From T2 near north end eo south end (south of T1),Parks,Gravel,"Bay Ridge Park, 14284 18a Ave",Park,Parks,Parks,Surrey,,,B1,,,,T3,Nature Trail,In Service,No,,2,2009
1776,,,,,"(lbob new) Bridge (1m wide) at south end; surface may have been b, mulch at one time",Recreation,,,"T33 Trail; Crescent Park, 2585 132 St",,1001485013,,,,,,On east side from near T21 to near T22,Parks,Dirt,"Crescent Park, 2585 132 St",Park,Parks,Parks,Surrey,,,A,,,,T33,Nature Trail,In Service,No,,2.2,2009
1777,,,,,(lbob new) ,Recreation,,,"T12 Trail; Crescent Park, 2585 132 St",,1001485017,,,,,,"From T11, east to picnic area",Parks,Gravel,"Crescent Park, 2585 132 St",Park,Parks,Parks,Surrey,,,A,,,,T12,Nature Trail,In Service,No,,2.5,2009
1778,,,,,(lbob new) ,,,,"T1 Trail;  William Beagle Park, 12944 92A Ave",,1001485037,,,,,,From Applehill Cres. in east to school in west,Parks,Limestone,"William Beagle Park, 12944 92A Ave",Park,Parks,Parks,Surrey,,,B1,,,,T1,General Access and Recreation,In Service,No,,2,2009
1779,,,,,(lbob new) Stairs at northeast end; Inlayed steps in ground in steep sections,,,,"T2 Trail;  Tom Hopkins Ravine Park, 11693 98 Ave",,1001485040,,,,,,From northeast corner joining w/ T1 in park middl*,Parks,Gravel,"Tom Hopkins Ravine Park, 11722 River Rd",Park,Parks,Parks,Surrey,,,B2,,,,T2,General Access and Recreation,In Service,No,,1,2009
1780,,,,,(lbob new) ,,,,"P1 Path; Surrey Centre Cemetery, 16675 - Old McLellan Rd",,1001486163,,,,,,from 60 Ave to Bell Rd,Parks,Asphalt,"Surrey Centre Cemetery, 16675 - Old McLellan Rd",Cemetery,Parks,Parks,Surrey,,,,,,,P1,Vehicle Access,In Service,No,,,2009
1781,,,,,(lbob new) ,,,,"P1 Path; Southmere Village Park, 1701 - Martin Dr",,1001486171,,,,,,in north section from NW entrance to P2,Parks,Asphalt,"Southmere Village Park, 1701 Martin Dr",Park,Parks,Parks,Surrey,,,,,,,P1,Vehicle Access,In Service,No,,,2009
1782,,,,,(lbob new) ,,,,"P4 Path;  Darts Hill Garden Park, 1660 168 St",,1001486177,,,,,,from 16 Ave vehicle entrance throughout meadow ar*,Parks,Limestone,"Darts Hill Garden Park, 1660 168 St",Park,Parks,Parks,Surrey,,,,,,,P4,Vehicle Access,In Service,No,,,2009
1783,,,,,(lbob new) ,,,,"P2 Path; Lionel Courchene Park, 9900 - 154 St",,1001486182,,,,,,short path from 98a Ave & 155 St entrance,Parks,Asphalt,"Lionel Courchene Park, 9900 154 St",Park,Parks,Parks,Surrey,,,,,,,P2,Vehicle Access,In Service,No,,,2009
1784,,,,,(lbob new) Note: the first 24 m of this path from the parking lot is Asphalt,,,,"P7 Path; Hawthorne Park, 10503 - 144 St",,1001486187,,,,,,from NE corner of parking lot to forest edge,Parks,Limestone,"Hawthorne Park, 10503 144 St",Park,Parks,Parks,Surrey,,,,,,,P7,Vehicle Access,In Service,No,,,2009
1785,,,,,(lbob new) ,,,,"P2 Path; 40C - Utility ROW, 12592 82 Ave",,1001485277,,,,,,from 80 Ave to Serpentine Greenway,Parks,Asphalt,"40C - Utility ROW, 12592 82 Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1786,,,,,(lbob new) ,,,,"P2 Path; 70A - Utility ROW, 12492 64 Ave",,1001485278,,,,,,from 63a Ave entrance to 125a St entrance,Parks,Asphalt,"70A - Utility ROW, 12492 64 Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1787,,,,,,,,,"P4 Path; Walnut Park, 16175 80A Ave",,1002064690,,,,,,from 82 Ave loop of playground area,Parks,Gravel,"Walnut Park, 16175 80A Ave",Park,Parks,Parks,,,,,,,,P4,General Access and Recreation,In Service,,,1.5,
1788,,,,,(lbob new) ,Recreation,,,"T1 Trail; Bell Park, 1782 136 St",,1001484676,,,,,,136 St. to tennis courts,Parks,Gravel,"Bell Park, 1782 136 St",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,1.2,2009
1789,,,Mountain Bike Intermediate,,(lbob new) ,,,,"T10 Trail; South Surrey Bike Park, 2200 148 St",,1001485066,,,,,,in bike park,Parks,,"South Surrey Bike Park, 2200 148 St",Park,Parks,Parks,Surrey,,,A,,,,T10,Off Road Bike Recreation Trail,In Service,No,,,2009
1790,,,Mountain Bike Intermediate,,(lbob new) ,,,,"T33 Trail; South Surrey Bike Park, 2200 148 St",,1001485070,,,,,,in bike park,Parks,,"South Surrey Bike Park, 2200 148 St",Park,Parks,Parks,Surrey,,,A,,,,T33,Off Road Bike Recreation Trail,In Service,No,,,2009
1791,,,Mountain Bike Intermediate,,(lbob new) ,,,,"T42 Trail; South Surrey Bike Park, 2200 148 St",,1001485073,,,,,,in bike park,Parks,,"South Surrey Bike Park, 2200 148 St",Park,Parks,Parks,Surrey,,,A,,,,T42,Off Road Bike Recreation Trail,In Service,No,,,2009
1792,,,,,(lbob new) ,,,,"P3 Path; Fun Fun Park, 1472 - 128 St",,1001485077,,,,,,from P1 to forest edge in east portion of park,Parks,Limestone,"Fun Fun Park, 1472 128 St",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
1793,,,,,,,,,Boardwalk #1; Oak Meadows Park; 16271 22 Ave,,1001937013,,,,,,Along T1,Parks,Wooden,Oak Meadows Park; 16271 22 Ave,,Parks,,,,,,,,,1,Walkway,In Service,,,,
1794,,,,,,,,,Boardwalk #2; Oak Meadows Park; 16271 22 Ave,,1001937014,,,,,,Along T1,Parks,Wooden,Oak Meadows Park; 16271 22 Ave,,Parks,,,,,,,,,2,Walkway,In Service,,,,
1795,,,,,(lbob new) ,,,,"P7 Path; Crescent Park, 2585 132 St",,1001485833,,,,,,from parking lots near caretakers to caretakers,Parks,Asphalt,"Crescent Park, 2585 132 St",Park,Parks,Parks,Surrey,,,,,,,P7,General Access and Recreation,In Service,No,,,2009
1796,,,,,(lbob new) ,,,,"P2 Path; Bakerview Park, 1845 - 154 St",,1001485835,,,,,,from SE entrance at 154 St & 18 Ave to P1,Parks,Asphalt,"Bakerview Park, 1845 154 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1797,,,,,(lbob new) ,,,,"P1 Path; 122G - Greenbelt, 13741 20 Ave",,1001485839,,,,,,from 20a Ave and 20 Ave entrances,Parks,Asphalt,"122G - Greenbelt, 13741 20 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1798,,,,,(lbob new) ,,,,"T14 Trail; Joe Brown Park, 5381 125A St",,1001485855,,,,,,From riding area near pit to pit access road,Parks,,"Joe Brown Park, 5381 125A St",Park,Parks,Parks,Surrey,,,B2,,,,T14,Equestrian Trail,In Service,No,,1.3,2009
1799,,,,,(lbob new) ,,,,"P2 Path; Meagan Anne MacDougall Park, 15385 90 Ave",,1001485863,,,,,,From southern 154 St entrance to P1,Parks,Asphalt,"Meagan Anne MacDougall Park, 15385 90 Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1800,,,,,(lbob new) ,,,,"P1 Path; 34H - Greenbelt, 15464 90 Ave",,1001485869,,,,,,from 90 Ave to 155a St and to laneway in east,Parks,Asphalt,"34H - Greenbelt, 15466 90 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1801,,,,,(lbob new) ,,,,"P1 Path; Darts Hill Garden Park, 1660 168 St",,1001485875,,,,,,along north side of south parking lot off 170 St,Parks,Concrete,"Darts Hill Garden Park, 1660 168 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1802,,,,,(lbob new) ,,,,"P2 Path; 135E - Greenbelt - VIP Site, 1069 - 161 St",,1001485882,,,,,,Throughout Site,Parks,Limestone,"135E - Greenbelt - VIP Site, 1069 161 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1803,,,,,(lbob new) ,,,,"P3 Path; Todd Crescent Park, 14075 73 Ave",,1001485265,,,,,,From 141 St and 73A Ave entrance to detention pon*,Parks,Concrete,"Todd Crescent Park, 14075 73 Ave",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,2,2009
1804,,,,,(lbob new) ,,,,"P7 Path; Alderwood Park, 1761 Lilac Dr",,1001485050,,,,,,From north end of park to north pond.,Parks,Limestone,"Alderwood Park, 1761 Lilac Dr",Park,Parks,Parks,Surrey,,,,,,,P7,General Access and Recreation,In Service,No,,,2009
1805,,,,,(lbob new) ,,,,"P5 Path; Boundary Park, 6058 Boundary Dr West",,1001485053,,,,,,at Boundary Dr North and 124 St entrance to playg*,Parks,Asphalt,"Boundary Park, 6058 Boundary Dr West",Park,Parks,Parks,Surrey,,,,,,,P5,General Access and Recreation,In Service,No,,,2009
1806,,,,,(lbob new) ,,,,"P1 Path; 68K - Greenbelt, 18826 68 Ave",,1001485801,,,,,,from 68 Ave to south end of site,Parks,Asphalt,"68K - Greenbelt, 18826 68 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1807,,,,,(lbob new) ,,,,"P1 Path; 33C - Tot-Lot, 14484 - 91 Ave",,1001485219,,,,,,From 91 Ave Entrance To 144A St Entrance,Parks,Asphalt,"33C - Tot-Lot, 14484 91 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,3.5,2009
1808,,,,,(lbob new) ,Recreation,,,"T1 Trail; Invergarry Park, 14400 Currie Dr",,1001485242,,,,,,from 111a Ave & 146 St to T8,Parks,Gravel,"Invergarry Park, 14400 Currie Dr",Park,Parks,Parks,Surrey,,,B2,,,,T1,Nature Trail,In Service,No,,,2009
