,AMANDA_ROWID,DESCRIPTION,PROJECT_NO,STATUS,WEBLINK
10441,1381354,"Rezoning from RF and RM-D to CD (based on RM-70), Consolidation from four (4) lots to two (2) lots, Development Variance Permit for parking, indoor amenity area, and lot coverage and a Development Permit in order to construct three (3) four (4) storey apartment buildings (with 221 units in total)",17-0599-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=17&seq=0599
10442,1381374,Development Permit to permit renovations to an existing drive-through restaurant in Fleetwood Town Centre.,17-0600-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=17&seq=0600
10443,1382026,"Rezoning from RA to RF-13 / NCP Amendment from Low Density Residential 6- 10 u.p.a. to Medium Density
Residential 10-15 u.p.a. and for changes to the road and drainage networks / to allow subdivision into 20 single family lots.
",17-0601-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=17&seq=0601
10444,1382033,Rezoning from RF to CD(based on C-8); Subdivision to consolidate 6 lots and Development Permit to allow the construction of 1223.5 sq.m. of retail commercial space within 2 buildings (within a hazard lands and sensitive eco-system DP area).,17-0602-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=17&seq=0602
10445,1382041,NCP Amendment for a portion from Cluster Residential 10-15 upa to Cluster Residential 15-20 upa LAP Amendment for a portion from Commercial/Business Park to Habitat Preservation Area Rezoning for a portion from RA to CD (based on RM-15)  Development Permit to permit the development of approximately 152 townhouse units. ,17-0603-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=17&seq=0603
10446,1382088,"Temporary Use Permit to allow for a temporary modular housing project with ancillary support services transitional housing accommodation and administrative offices for a period of three years.
",17-0604-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=17&seq=0604
10447,1382318,"Development Permit / Development Variance Permit to permit the development of an 11,630 square metre (125,182 sq.ft.) industrial building.
",17-0606-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=17&seq=0606
10448,1382321,"Consolidation of a 612.3m2 existing lane proposed for closure (EPP66627) with 15405 88 Avenue, dedication of 578.4m2 of 15405 88 Avenue for alternative lane alignment (EPP67003).",17-0607-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=17&seq=0607
10449,1382327,"Development Variance Permit to allow driveway access from the fronting street.
",17-0608-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=17&seq=0608
10450,1382359,"Rezoning from RA to CD (based on RM-30), and a Development Permit in order to create 147 townhouses ",18-0001-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0001
10451,1382748,Development Variance Permit / Development Permit to vary the maximum setback of a single family dwelling and the maximum depth of the farm residential footprint on an existing preload pad on an agricultural lot. Development Permit is for Sensitive Ecosystems (Streamside Areas). ,18-0002-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0002
10452,1382781,"To Consolidate seven (7) properties into one, for a new Elementary School.",18-0003-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0003
10453,1382801,Development Permit for Sensitive Eco System to build a new house. ,18-0004-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0004
10454,1382923,Sensitive Ecosystems (Streamside) Development Permit in order to permit construction of a new house.,18-0005-00,Referrals,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0005
10455,1382963,To Rezone from RH to RF; To subdivide from 1 lot into 3.,18-0006-00,Referrals,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0006
10456,1383238,Temporary Use Permit for truck parking. ,18-0007-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0007
10457,1383428,Air parcel subdivision,18-0008-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0008
10458,1383741,Temporary use permit for a condo sales centre.,18-0009-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0009
10459,1383791,"Development Variance Permit to vary the maximum setback for the rear of the house in the A-1 Zone, from 50m to 90m and from 60m to 100m for the farm residential home plate, in order to permit construction of a new home; Development Permit for Sensitive Eco System Streamside. ",18-0010-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0010
10460,1383869,To rezone from RA to IL; Development Permit for proposed two storey building with industrial on main floor and office space on second floor. ,18-0011-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0011
10461,1383884,Subdivision into 3 RF lots,18-0012-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0012
10462,1383947,Subdivision from one (1) RF lot to two (2) RF lots,18-0013-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0013
10463,1383964,Development Permit / Development Variance Permit to reduce the minimum streamside setback from a Class A watercourse to facilitate the construction of an accessory building. ,18-0014-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0014
10464,1384252,Development Permit for Green Infrastructure in order to construct a single family dwelling at the rear of the property,18-0016-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0016
10465,1384332,"Development Variance Permit to vary parking and eliminate indoor amenity space and balcony requirements, to permit 8 additional dwelling units to be constructed within the existing apartment buildings on the site. ",18-0017-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0017
10466,1384358,"Rezoning from A-1 to PC; Subdividing 1 lot to 1 lot for an expansion of an approved cemetery (project #13-0288), and an open space dedication; Development Permit for Sensitive Ecosystem / Hazard Lands. ",18-0018-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0018
10467,1384463,"Development Permit / Development Variance Permit to permit the development of a 3,780 square metre (40,688 sq. ft.) two-tenant industrial building. ",18-0019-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0019
10468,1384649,"Amend CD Bylaw No. 18706 For changes to the permitted density, lot coverage and side-yard setbacks. ",18-0020-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0020
10469,1384670,Development Permit for Sensitive Ecosystems,18-0021-00,Referrals,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0021
10470,1384805,Development Variance Permit / Restrictive Covenant Amendment to reduce the minimum front yard setback in the RF zone for the garage portion of the principal building and to reduce the minimum rear yard setback specified in the restrictive covenant to the principal building.,18-0022-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0022
10471,1384886,Subdivision from two (2) lots into four (4) lots,18-0023-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0023
10472,1384974,To rezone from RF to RM-30; Development Permit in order to construct 13 Townhouse Units; Development Variance Permit to reduce setbacks and allow the outdoor amenity space to be located within the building setback. ,18-0024-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0024
10473,1385078,Rezoning from RF to RF-10 and subdivision from one RF lot to two RF-10 lots.,18-0025-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0025
10474,1385383,Development Permit for Hazard Lands - Steep Slope Area,18-0026-00,Referrals,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0026
10475,1385574,"Development Permit to permit fascia and projecting signage for a financial institution within a commercial building in the City Centre, as part of a comprehensive sign design package.",18-0027-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0027
10476,1385656,Development permit for hazard lands and sensitive ecosystems.,18-0028-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0028
10477,1385671,"Temporary Use Permit to allow for the temporary storage of construction bins, portable toilets and fences for a period not to exceed three years. ",18-0029-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0029
10478,1385909,"Development Permit / Development Variance Permit to permit the development of a 4,062 square metre (43,722 sq. ft.) single-tenant industrial building.",18-0031-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0031
10479,1386355,"Rezoning from CD to RF, Subdivision from one (1) lot to two (2) lots, and an OCP Amendment from ""Suburban"" to ""Urban"" ",18-0032-00,Referrals,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0032
10480,1386384,"Rezone the subject sites from ""RA"" and ""A1"" to ""RQ""; Subdivide the 1 existing property into 33 RQ lots; Development Permit for Steep Slope Areas - Hazard Lands, Streamside Areas - Sensitive Ecosystems, and Farming Protection Area. ",18-0033-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0033
10481,1386489,Rezone from RA to RM-30 and CD (Based on C-5); Subdividing from 1 Lot to 2 Lots; Development Permit to allow for a development of small neighbourhood commercial plaza and townhouses.,18-0034-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0034
10482,1386758,Development Variance Permit to vary the front and side yard setbacks of LUC No. 44 in order to permit construction of a new single family dwelling on the lot.  ,18-0035-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0035
10483,1386778,"Development Permit for Sensitive Eco-Systems for Streamside Protection. 
",18-0036-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0036
10484,1386959,"Heritage Alteration Permit (HAP) for the relocation of the 1881 Town Hall to the museum (HAP is for the designation bylaw registered on title at the current location).   
Heritage Alteration Permit (HAP) for the relocation of the Old Anniedale School to the museum (HAP is for the designation bylaw registered on title at the current location).   
Heritage Revitalization Agreement for the Old Anniedale School (to be registered on title at the museum site)
Heritage Revitalization Agreement for the 1881 Town Hall (to be registered on title at the museum site)",18-0037-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0037
10485,1387053,Development Permit to permit the construction of a new auto dealership building,18-0038-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0038
10486,1387073,"Rezoning from C-5 to CD (based on C-5) to permit a care facility use within a medical office building on the property.
",18-0039-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0039
10487,1387092,Development Variance Permit to reduce the Special Building Setback requirements for a proposed single family dwelling on a lot located along a collector road.,18-0040-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0040
10488,1387309,"Rezoning from RF and RM-D to RM-30, consolidation of two lots into one, development permit for form and character of 16 townhouse units and sensitive ecosystems, development variance permit for front, rear and sideyard setbacks.",18-0041-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0041
10489,1387418,"To extend the liquor primary licensed area into the adjoining food primary licensed area, and simultaneously cancel the food primary licence. (To ultimately have one licence type within the business)",18-0042-00,Referrals,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0042
10490,1387686,Development Variance Permit in order to permit the construction of a 40 metre (131 ft.) free-standing telecommunication tower.,18-0043-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0043
10491,1387794,"Development Permit to permit the development of a 13,796 square metre (148,500 sq. ft.) multi-tenant industrial building. ",18-0044-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0044
10492,1387844,"Rezoning from RM-D to RF; Subdivision from one (1) RM-D lot to two (2) RF lots; Development Variance Permit for lot depth on proposed Lot 1 and 2, as well as to reduce the rear yard setback and relax the 80% Rule to retain the existing house on proposed Lot 1.",18-0045-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0045
10493,1387858,Subdivision from 1 into 2 lots; Development Variance Permit for lot width and a Development Permit for subdivision within a sensitive eco-system DP area.,18-0046-00,Referrals,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0046
10494,1388041,To rezone from RF to RF-10; Subdivide from 1 lot into 2.,18-0047-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0047
10495,1388160,"Development Variance Permit to reduce the minimum streamside setback.
",18-0048-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0048
10496,1388417,"Development Variance Permit to reduce the number of required on-site parking spaces to accommodate a taekwondo studio.
",18-0049-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0049
10497,1388431,Subdivision from two (2) RF lots to three (3) RF lots,18-0050-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0050
10498,1388435,Development Permit for new construction and Rezoning from A-2 to IB-2.  (Two light industrial concrete tilt up construction buildings. One for single user; one for multi-tenant building).  ,18-0051-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0051
10499,1388526,Rezoning south portion (69%) of lot from A-1 to IL to increase open storage space. ,18-0052-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0052
10500,1388631,"Rezoning from RF to RF-13, and Subdivision from five (5) lots to twenty-two (22) lots",18-0054-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0054
10501,1388773,NCP Amendment from Townhouse 15 upa to Townhouse 30 upa; Rezoning from RA to RM-30; Development Permit in order to permit construction of 12 Townhouse Units and 1 lot for the protection of the riparian area; Development Variance Permit to reduce SPEA setback. ,18-0055-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0055
10502,1388824,Subdivision of 1 RF lot to 2 RF lots ,18-0056-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0056
10503,1388851,For DVP to reduce minimum parking ratio required for either the existing Steve Nash Fitness World (Recreational facility - gym) or for the new grocery store as to make it possible for them to lease the unit.,18-0057-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0057
10504,1388930,"OCP Amendment of a portion of Figure 16: Central Business District Densities from 3.5 FAR to 5.5 FAR City Centre Plan Amendment of a portion from Residential Mid to High Rise 3.5 FAR to High Rise 5.5 FAR / Rezoning from RF, RM-D and
C-35 to CD (based on RM-135 and C-8) / Development Permit to permit the development of two high-rise residential towers, townhouses, and commercial space.",18-0058-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0058
10505,1389346,Development Permit for upgrades to the Guildford Bus Exchange that integrate with the future LRT;  Development Variance Permit to vary the buffering requirement and building setbacks for Transit Exchange and crew layover facility. ,18-0059-00,Referrals,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0059
10506,1389529,Development Permit for Sensitive Ecosystem and Hazard Lands for construction of a new single family dwelling. ,18-0060-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0060
10507,1389546,"Rezoning from A1 to RQ; Subdividing from 1 lot into 8 lots.
",18-0061-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0061
10508,1389626,"Development permit for 64 townhouse units. (Phase 2, Lot 2)  
Please refer to 7911-0219-00 for the original application.",18-0062-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0062
10509,1389656,"Development permit for 44 townhouse units. (Phase 3, Lot 1)  
Please refer to 7911-0219-00 for the original application.",18-0063-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0063
10510,1389700,"Temporary Use Permit to permit the continued storage of cranes and shipping containers for a period not to exceed three years.
",18-0064-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0064
10511,1389757,Rezoning from RM-D to RF-13; Subdividing from 1 lot into 2; Development Variance Permit to reduce the lot width of the corner rear loaded RF-13 lot from 14m to 12.65m.,18-0065-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0065
10512,1389960,Subdivision to create 4 RH lots and Development permit to permit subdivision within hazard lands DP area; Major RC Amendment to discharge the RC for subdivision into no more than 2 lots,18-0067-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0067
10513,1390020,"Rezoning from RF to RF-13 (Type II), Subdivision from one (1) lot into two (2) lots, and a Development Variance Permit to reduce lot width on Lot 2.",18-0068-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0068
10514,1390023,Rezoning from RA to CD(based on RH) and Subdivision from one (1) lot to two (2) lots,18-0069-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0069
10515,1390052,"Rezoning from CTA to CD (based on RM-30), Subdivision from one (1) to three (3) lots, OCP Amendment from ""Urban"" to ""Multi-Residential"" and a Development Permit in order to allow for the construction of 356 proposed dwelling units",18-0070-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0070
10516,1390057,"Development Variance Permit to reduce the minimum rear and side yard setbacks for an existing chicken coop.
",18-0071-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0071
10517,1390129,"OCP Amendment from Urban to Multiple Residential and to allow a higher floor area ratio (FAR) in the Multiple Residential designation NCP Amendment, of a portion, from 22-45 u.p.a (High Density) to 30-70 u.pa. (High Density) Rezoning from RA to CD (based on RM-70) / Development Permit to permit the development of two, 5 storey apartment buildings and Subdivision into 2 multi-residential lots and 1 lot for park purposes.",18-0072-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0072
10518,1390221,Rezoning property from A-2 to IB-2; Development Permit for General Use. ,18-0073-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0073
10519,1390248,Development Permit for Hazard Lands (Steep Slope) to permit building a new home. ,18-0074-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0074
10520,1390350,"Development Permit Hazard Lands (Steep Slope) for re-grading and additional retaining walls proposed at the rear of the property.
",18-0075-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0075
10521,1390375,Rezoning from I-4 and RF to IL to facilitate future light industrial building. ,18-0076-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0076
10522,1390596,Subdividing 1 existing lot into 2 lots; rezoning from RMD to RF-13; Development Permit for Sensitive Ecosystem.,18-0077-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0077
10523,1390840,"Rezoning from A-1 to CD / Non-farm use under Section 20(3) of the ALC Act. to permit the operation of a landscape business.
",18-0078-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0078
10524,1391073,Rezoning from RH to RF and RF-10; Subdivision from one (1) into four (4) lots; a Development Variance Permit to vary lot frontage of the RF lot  and to amend the South Newton NCP to re-designate a portion of the site from 'Single Family Residential' to 'Single Family Small Lots',18-0079-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0079
10525,1391244,Development Permit in order to construct a single family dwelling within Sensitive Eco-System and Hazard Lands DP areas.,18-0080-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0080
10526,1391440,Rezoning from RA to CD; Development Permit for a 4 Storey Mixed-use Commercial / Residential Building and a 4 Storey Residential Building.  ,18-0081-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0081
10527,1391571,Rezoning from RF to RF-10 and Subdivision from one (1) lot into two (2) lots,18-0082-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0082
10528,1391643,Development Permit for Freestanding Signs at Hopewell Building #1 and Building #2.,18-0083-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0083
10529,1391746,Development Variance Permit to reduce the minimum front yard setback for two existing accessory buildings.,18-0084-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0084
10530,1391827,"Rezoning from RA to RF-13; Subdividing 1 residential lot into 10 residential lots; Development Permit for Hazard Lands and Sensitive Ecosystem; Development Variance Permit to reduce the widths of lots 1, 2, 3, & 9. ",18-0085-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0085
10531,1391851,Development Permit for Sensitive Ecosystems,18-0086-00,Referrals,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0086
10532,1392393,Rezoning from CD (Bylaw No. 18856) to RM-30 NCP Amendment for changes to the local road network Development Permit / Development Variance Permit to permit the development of approximately 80 townhouse units. ,18-0087-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0087
10533,1392567,OCP amendment from Suburban to Urban; NCP amendment from Park & Business Park to Townhouses (15-Upa); Rezoning from RA to RM-15; Development Permit for construction of 36 Townhomes within a Sensitive Ecosystem DP Area.,18-0088-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0088
10534,1392612,Development Permit for Sensitive Eco System (Streamside Protection) for construction of new single family dwelling. ,18-0089-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0089
10535,1392616,Development Permit for Sensitive Eco System (Streamside) to construct a new single family dwelling. ,18-0090-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0090
10536,1392623,"Development permit for a 13457.2 sq.m Industrial building and development variance permit to vary the parking from 2.5 stalls per 100 sq,m to 1 stall per 100 sq.m for warehouse and office. 
",18-0091-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0091
10537,1392675,"Rezoning from RA to CD based on RM-45; Consolidating from two lots into one; Development Permit for a four storey, 75 unit residential development with two levels of underground parking that falls within a Sensitive Eco System (streamside) area.",18-0092-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0092
10538,1392707,"Subdivision from one (1) lot into two (2) lots, Development Variance Permit to reduce lot width from 15m to 14m.",18-0093-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0093
10539,1392870,Amend restrictive covenant (to allow construction of a single-family dwelling on portion of lot that is not part of the temporary ROW lane); Relaxation of 20/80 second storey to main storey ratio zoning regulation to 10/80 due to undue hardship; Relaxation of RF required 6.1 rear yard setback to 1.8m.,18-0094-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0094
10540,1393010,Rezoning from CD to CD (to amend Bylaw No. 19301 to include Multi-Residential); Development Permit to allow the building of a 34 storey mixed-use tower.,18-0095-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0095
10541,1393040,Rezoning from RF to CD (Based on RM-70); Development Permit to vary setbacks and height of building.,18-0096-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0096
10542,1393090,"Subdivision from one (1) RA lot to four (4) RA lots, Development Permit for Sensitive Ecosystems and Hazard Lands, Development Variance Permit to vary minimum lot sizes for septic systems.",18-0097-00,Referrals,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0097
10543,1393223,Development Permit / Development Variance Permit to permit the development of a 3-storey mixed-use building,18-0098-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0098
10544,1393666,Development Permit for Sensitive Ecosystems in order to construct an addition to an existing single family dwelling,18-0099-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0099
10545,1393714,OCP Amendment from Agricultural to Commercial; Rezoning from A-1 to CD; ALR exclusion under Section 30(1) of the ALC Act. to permit the development of commercial uses.,18-0100-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0100
10546,1393801,"Subdivision (Consolidation) from twelve (12) lots to one (1) lot, and a Development Permit for Hazard Lands/Sensitive Ecosystems in order to construct the sanitary sewer trunk",18-0101-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0101
10547,1393920,"Temporary Use Permit to permit personal service uses, limited to barbershops and hair salons for a maximum of three (3) years.
",18-0102-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0102
10548,1393991,"Rezone the site from RA and IB to IB-3; Subdivision consolidation from 4 lots into 1; Development Permit to allow for the building of a 2 storey and 4 storey industrial buildings, in a Sensitive Ecosystem area; Development Variance Permit to allow for reduced building setbacks, given site constraints (Watercourse, BC Hydro ROW).  ",18-0103-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0103
10549,1394309,Development Variance Permit to reduce the interior side yard setback from 4.5m to 3.0m and the front yard setback from 7.5m to 6.0m in order to construct a new single family dwelling,18-0104-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0104
10550,1394353,Development Permit to permit the construction of a house within a sensitive eco-system DP Area,18-0105-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0105
10551,1394514,"Development Variance Permit to reduce the minimum side yard (flanking) setback for a proposed addition to an existing single family dwelling.
",18-0106-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0106
10552,1394570,Subdivision into 4 RF lots.,18-0107-00,Referrals,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0107
10553,1394732,Rezoning from RF to RF-10 and Subdivision into 2 lots.,18-0108-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0108
10554,1394946,"Rezoning from RA to CD (based on RQ), Subdivision from one (1) to four (4) lots, Development Variance Permit to reduce lot width to 16.6m, and a Development Permit for Hazard Lands (Steep Slopes)/Sensitive Ecosystems) ",18-0109-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0109
10555,1395244,Development Variance Permit to reduce the parking requirements for the mini-storage facility use.,18-0110-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0110
10556,1395272,Rezoning from RF to RM-30; development permit for 45 Townhouse units; consolidation of 5 lots.,18-0111-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0111
10557,1395307,"Rezoning portion of RA to a combination of RF-10, RF-13, and RF-SD; Subdividing from 1 lot into 23; NCP amendment from 10+4 upa to 10-25 upa.   ",18-0112-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0112
10558,1395434,Rezoning from A1 to CD (based on IB-3); Development Permit to permit the operation of an EcoCentre for small vehicle recycling drop-off. ,18-0113-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0113
10559,1395450,Development Permit for Sensitive Ecosystems,18-0114-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0114
10560,1395679,Rezoning from RF to RF-SD / Development Variance Permit to allow subdivision into eight (8) semi-detached dwelling units. ,18-0115-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0115
10561,1395699,Rezoning from CHI to CD (based on C-8 and RM-45) Development Permit to permit the development of a four-storey mixed-use residential and commercial building.,18-0116-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0116
10562,1395794,Rezoning from RF to RF-13; subdividing 2 lots into 3; DVP to decrease rear yard setback.,18-0117-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0117
10563,1395924,"Development Permit to permit fascia signage for a restaurant on an existing commercial building in Guildford, as part of a comprehensive sign design package.
",18-0118-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0118
10564,1396084,Rezoning from RA to RF; Subdividing from 1 lot into 2; Development Variance Permit to reduce the lot width from 15m to 14.47m.,18-0119-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0119
10565,1396466,Liquor Amendment to have a karaoke (patron participation),18-0120-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0120
10566,1396530,"Sensitive Ecosystem (Green Infrastructure) Development Permit to allow construction of a new, two-storey single family dwelling on the lot.",18-0121-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=18&seq=0121
